asin,negative,neutral,positive,total_reviews
B0D7H21MNQ,12.5,0.0,87.5,8
B0D7VG4754,0.0,0.0,100.0,13
B0D842FXFX,0.0,0.0,100.0,8
B0D8J2ZB8P,0.0,0.0,100.0,13
B0D8LH2VSP,7.7,0.0,92.3,13
B0D8LXRHQ8,7.7,0.0,92.3,13
B0D8VR4BTZ,7.7,7.7,84.6,13
B0D97BWLZ4,9.1,0.0,90.9,11
B0D9849WQD,15.4,7.7,76.9,13
B0D9B96TBX,0.0,0.0,100.0,8
B0D9MK23S7,0.0,0.0,100.0,12
B0D9QFRJMX,0.0,7.7,92.3,13
